country,percentile,threshold,r,pa,s,tp,fp,fn,precision,recall,iou,f1
AND,70,0.2,1,0,0,45,51,5,0.46875,0.9,0.44554455445544555,0.6164383561643836
BEL,70,0.2,1,0,0,7397,14233,284,0.34197873324086914,0.9630256477021221,0.3375467737519394,0.5047251884957865
BIH,70,0.2,1,0,0,2560,8386,696,0.23387538826968757,0.7862407862407862,0.21989348909122144,0.36051260385861145
BGR,70,0.2,1,0,0,7208,24936,1521,0.22424091587854655,0.8257532363386413,0.21410960938660328,0.3527022728940866
CHE,70,0.2,1,0,0,6547,5079,625,0.5631343540340615,0.9128555493586168,0.5344053546649253,0.6965634641983189
ALB,70,0.2,1,0,0,1419,3507,204,0.28806333739342266,0.8743068391866913,0.2766081871345029,0.4333486028401282
EST,70,0.2,1,0,0,2830,4269,3718,0.3986476968587125,0.4321930360415394,0.26162521956180085,0.4147431669964095
AUT,70,0.2,1,0,0,6555,14996,344,0.304162219850587,0.9501377011161037,0.29938342087234526,0.46080843585237263
DNK,70,0.2,1,0,0,5956,11395,4198,0.34326551783758863,0.5865668701989364,0.2763933361176853,0.43308489365569897
GRC,70,0.2,1,0,0,7336,36116,431,0.16882997330387553,0.9445088193639758,0.16717179773488594,0.28645619789531224
HUN,70,0.2,1,0,0,5508,23949,55,0.18698441796516957,0.9901132482473486,0.18663594470046083,0.31456310679611654
HRV,70,0.2,1,0,0,5933,10711,913,0.3564647921172795,0.8666374525270231,0.33792789200888534,0.5051511281396339
IRL,70,0.2,1,0,0,2873,16111,6,0.1513379688158449,0.9979159430357764,0.15129015271195365,0.2628184604125692
LIE,70,0.2,1,0,0,26,101,0,0.2047244094488189,1.0,0.2047244094488189,0.3398692810457516
BLR,70,0.2,1,0,0,10962,16029,17168,0.4061353784594865,0.38969072164948454,0.24823931701351934,0.39774314689501283
LTU,70,0.2,1,0,0,4122,6083,6660,0.40391964723174917,0.3823038397328882,0.2444115031129558,0.3928145995139849
LUX,70,0.2,1,0,0,981,1108,4,0.46960268070847294,0.9959390862944163,0.4687052078356426,0.6382563435263501
CZE,70,0.2,1,0,0,10811,22389,333,0.32563253012048193,0.9701184493898062,0.32239883100229627,0.4875969691502796
MKD,70,0.2,1,0,0,1022,4983,137,0.17019150707743547,0.8817946505608283,0.16639531097362423,0.2853154662199889
DEU,70,0.2,1,0,0,41669,95675,613,0.30339148415657036,0.9855021049146209,0.30204339033177,0.4639528798726242
MNE,70,0.2,1,0,0,667,1391,321,0.3241010689990282,0.6751012145748988,0.280369903320723,0.437951411687459
LVA,70,0.2,1,0,0,1840,6722,164,0.21490306003270265,0.9181636726546906,0.21086408434563375,0.3482869581677077
FRA,70,0.2,1,0,0,53385,117474,16015,0.3124506171755658,0.7692363112391931,0.2856737694917431,0.44439542327238524
ITA,70,0.2,1,0,0,41856,61225,2121,0.4060496114705911,0.9517702435363941,0.39786315849508563,0.5692447877708116
NLD,70,0.2,1,0,0,3887,14548,40,0.210848928668294,0.9898141074611663,0.21039242219215157,0.34764332349521504
MDA,70,0.2,1,0,0,3487,3920,3986,0.47077089239908193,0.46661314063963605,0.3060651277099974,0.46868279569892474
SRB,70,0.2,1,0,0,5422,18353,348,0.2280546792849632,0.9396880415944541,0.22476474733656676,0.36703333897444573
SVN,70,0.2,1,0,0,2006,4287,225,0.3187668838391864,0.8991483639623488,0.3077631175207119,0.47067104645706237
PRT,70,0.2,1,0,0,12411,24608,1900,0.3352602717523434,0.8672349940605129,0.31889308563940494,0.4835768556399766
SVK,70,0.2,1,0,0,4681,9440,725,0.33149210395864315,0.865889752127266,0.31530378553145627,0.4794387258667485
ESP,70,0.2,1,0,0,33512,84829,9390,0.2831816530196635,0.7811290848911473,0.2623638740791194,0.41567075780033863
POL,70,0.2,1,0,0,29400,89983,469,0.24626621880837304,0.9842981017108039,0.24530253979908553,0.39396456998901186
ROU,70,0.2,1,0,0,16785,55986,2686,0.2306550686399802,0.8620512557136254,0.22244457108021787,0.3639339996964507
GBR,70,0.2,1,0,0,19732,60989,4247,0.24444692211444358,0.8228866925226239,0.23222860370963186,0.37692454632282707
UKR,70,0.2,1,0,0,55517,60236,68451,0.47961607906490544,0.44783331182240577,0.30138867777029815,0.463180113548667
